Word,Polarity
able,0.0
abundance,0.0
abundant,0.0
acclaimed,0.0
accomplish,0.843
accomplished,0.8808
accomplishes,0.8038
accomplishing,0.0
accomplishment,0.0
accomplishments,0.0
achieve,0.0
achieved,0.0
achievement,0.0
achievements,0.0
achieves,0.0
achieving,0.0
adequately,0.0
advancement,0.0
advancements,0.0
advances,0.0
advancing,0.0
advantage,0.5
advantaged,0.68
advantageous,0.7224
advantageously,0.8808
advantages,0.7224
alliance,0.0
alliances,0.0
assure,0.68
assured,0.7224
assures,0.6364
assuring,0.7636
attain,0.0
attained,0.0
attaining,0.0
attainment,0.0
attainments,0.0
attains,0.0
attractive,0.8808
attractiveness,0.843
beautiful,1.1988
beautifully,1.1438
beneficial,0.8808
beneficially,1.0534
benefit,0.9176
benefited,0.0
benefiting,0.0
benefitted,0.8038
benefitting,0.8808
best,1.2738
better,0.8808
bolstered,0.0
bolstering,0.0
bolsters,0.0
boom,0.0
booming,0.0
boost,0.8038
boosted,0.7224
breakthrough,0.0
breakthroughs,0.0
brilliant,1.1718
charitable,0.8038
collaborate,0.0
collaborated,0.0
collaborates,0.0
collaborating,0.0
collaboration,0.0
collaborations,0.0
collaborative,0.0
collaborator,0.0
collaborators,0.0
compliment,0.9534
complimentary,0.8808
complimented,0.843
complimenting,1.0212
compliments,0.8038
conclusive,0.0
conclusively,0.0
conducive,0.0
confident,0.9878
constructive,0.0
constructively,0.0
courteous,1.0212
creative,0.8808
creatively,0.7224
creativeness,0.843
creativity,0.7636
delight,1.1988
delighted,1.0212
delightful,1.1718
delightfully,1.1438
delighting,0.7636
delights,0.9176
dependability,0.0
dependable,0.0
desirable,0.6364
desired,0.5464
despite,0.0
destined,0.0
diligent,0.0
diligently,0.0
distinction,0.0
distinctions,0.0
distinctive,0.0
distinctively,0.0
distinctiveness,0.0
dream,0.5
easier,0.843
easily,0.68
easy,0.8808
effective,0.9534
efficiencies,0.7636
efficiency,0.7224
efficient,0.843
efficiently,0.8038
empower,0.0
empowered,0.0
empowering,0.0
empowers,0.0
enable,0.0
enabled,0.0
enables,0.0
enabling,0.0
encouraged,0.7224
encouragement,0.843
encourages,0.8808
encouraging,1.0534
enhance,0.0
enhanced,0.0
enhancement,0.0
enhancements,0.0
enhances,0.0
enhancing,0.0
enjoy,0.9878
enjoyable,0.8808
enjoyably,0.843
enjoyed,1.0212
enjoying,1.0534
enjoyment,1.1148
enjoys,1.0212
enthusiasm,0.8808
enthusiastic,0.9878
enthusiastically,1.1148
excellence,1.2498
excellent,1.1438
excelling,1.0846
excels,1.0846
exceptional,0.0
exceptionally,0.0
excited,0.68
excitement,0.9878
exciting,0.9878
exclusive,0.256
exclusively,0.0
exclusiveness,0.0
exclusives,0.0
exclusivity,0.0
exemplary,0.0
fantastic,1.1148
favorable,0.9534
favorably,0.7636
favored,0.843
favoring,0.843
favorite,0.9176
favorites,0.843
friendly,0.9878
gain,1.0534
gained,0.7636
gaining,0.843
gains,0.68
